seman@mediagtw:~$ # Terminál 1 na mediagtw — RTP traffic k/od RO Asterisk
sudo tcpdump -i eth0 -n "udp and host 10.33.0.55 and portrange 10000-20000"
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
14:28:00.299081 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.319195 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.339445 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.359483 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.379486 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.399494 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.419271 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.439441 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.459390 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.479397 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.499384 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.519124 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.539215 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.559208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.579398 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.599380 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.619291 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.639034 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.659094 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.679234 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.702557 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
